check_name,status,details
11_room_type_constraints,INFO,"[{""name"": ""room_types_code_not_blank"", ""type"": ""c"", ""validated"": true, ""definition"": ""CHECK (length(TRIM(BOTH FROM code)) > 0)""}, {""name"": ""room_types_hotel_id_fkey"", ""type"": ""f"", ""validated"": true, ""definition"": ""FOREIGN KEY (hotel_id) REFERENCES hotels(id) ON DELETE RESTRICT""}, {""name"": ""room_types_name_not_blank"", ""type"": ""c"", ""validated"": true, ""definition"": ""CHECK (length(TRIM(BOTH FROM name)) > 0)""}, {""name"": ""room_types_occupancy_check"", ""type"": ""c"", ""validated"": true, ""definition"": ""CHECK (base_occupancy >= 1 AND max_adults >= 1 AND max_children >= 0 AND max_occupancy >= base_occupancy AND max_occupancy >= max_adults)""}, {""name"": ""room_types_pkey"", ""type"": ""p"", ""validated"": true, ""definition"": ""PRIMARY KEY (id)""}, {""name"": ""room_types_rates_nonnegative"", ""type"": ""c"", ""validated"": true, ""definition"": ""CHECK (base_rate >= 0::numeric AND extra_adult_rate >= 0::numeric AND extra_child_rate >= 0::numeric)""}]"
12_rate_plan_constraints,INFO,"[{""name"": ""rate_plans_code_not_blank"", ""type"": ""c"", ""validated"": true, ""definition"": ""CHECK (length(TRIM(BOTH FROM code)) > 0)""}, {""name"": ""rate_plans_currency_check"", ""type"": ""c"", ""validated"": true, ""definition"": ""CHECK (currency_code ~ '^[A-Z]{3}$'::text)""}, {""name"": ""rate_plans_hotel_id_fkey"", ""type"": ""f"", ""validated"": true, ""definition"": ""FOREIGN KEY (hotel_id) REFERENCES hotels(id) ON DELETE RESTRICT""}, {""name"": ""rate_plans_name_not_blank"", ""type"": ""c"", ""validated"": true, ""definition"": ""CHECK (length(TRIM(BOTH FROM name)) > 0)""}, {""name"": ""rate_plans_pkey"", ""type"": ""p"", ""validated"": true, ""definition"": ""PRIMARY KEY (id)""}, {""name"": ""rate_plans_rate_nonnegative"", ""type"": ""c"", ""validated"": true, ""definition"": ""CHECK (base_rate >= 0::numeric AND extra_adult_rate >= 0::numeric AND extra_child_rate >= 0::numeric)""}, {""name"": ""rate_plans_room_type_fkey"", ""type"": ""f"", ""validated"": true, ""definition"": ""FOREIGN KEY (hotel_id, room_type_id) REFERENCES room_types(hotel_id, id) ON DELETE RESTRICT""}, {""name"": ""rate_plans_stay_check"", ""type"": ""c"", ""validated"": true, ""definition"": ""CHECK (minimum_stay >= 1 AND (maximum_stay IS NULL OR maximum_stay >= minimum_stay))""}]"
13_room_inventory_integrity,READY,Rooms=14; without room_type_id=0; without floor_id=0; blank room number=0; blank legacy room_type=0.
14_room_number_uniqueness,READY,Duplicate hotel+room-number groups=0.
15_room_type_integrity,READY,Total=3; active=3; negative rates=0; duplicate name groups=0; duplicate code groups=0.
16_rate_plan_integrity,READY,Total=3; active=3; negative rates=0; invalid currency=0; active room types without active rate=0.
17_floor_inventory,READY,Floors=2; active=2; Default Floor rows=2.
18_bulk_room_import_rpc,GAP,"Expected contract: hotel UUID plus JSON array with room number, room type and floor identifiers/codes."
19_room_configuration_rpc,GAP,"Expected atomic room type, floor, rate and room configuration RPC."
20_amenities_table,GAP,No normalized amenities table exists.
